Rank,Name,Overall_Score,Category,Description,data_integration,analytics_capability,visualization,accessibility,scalability,documentation,community_support,security_compliance,interoperability,real_time_capability,Strengths,Weaknesses
110,"DARPA RTA",78,"Rapid Biological Threat Characterization","Rapid Threat Assessment - speeds production of medical countermeasures for US forces by rapidly characterizing unknown bio-agents",77,80,72,61,79,76,65,94,73,80,"Rapid unknown agent characterization; MCM production acceleration; Critical intel for force health; Defense-wide application","Classified research; Not accessible platform; Military-only use; Characterization not surveillance"
111,"BSVE (Biosurveillance Ecosystem)",82,"Military Integrated Biosurveillance","DTRA Biosurveillance Ecosystem - multi-source disease forecasting platform correlating epidemiological, environmental, and social data for military operations",86,84,80,68,84,79,72,95,80,84,"Multi-domain data correlation; Disease prediction & forecasting; Operational since 2015; Defense-wide user base; DTRA-funded","Government-restricted access; Aging interface; Limited external collaboration; Heavy security requirements"
112,"GEIS (Global Emerging Infections Surveillance)",85,"DoD Global Disease Surveillance Network","Defense Health Agency program providing global biosurveillance through network of military laboratories in 30+ countries since 1997",87,85,82,72,88,84,80,93,83,86,"30+ country network since 1997; USAMRIID/WRAIR/NAMRU partnerships; Force health protection; African Lion 2025 demonstrated; DHA-funded operational program","Military-access primarily; Government bureaucracy; Slow innovation cycle; Relies on partner nation cooperation"
113,"F-FAST / FFBS",81,"Far-Forward Biological Sequencing","DEVCOM CBC/DTRA far-forward portable nanopore sequencing system for pathogen-agnostic identification in field operations",78,83,75,65,79,78,70,94,77,86,"Field-deployable nanopore sequencing; Pathogen-agnostic identification; Handheld bioinformatics; Special Operations proven; Program of record 2025","Military-only access; Requires trained operators; Limited throughput; Consumables logistics"
114,"USAMRIID Biosurveillance",84,"Military Biodefense Research & Surveillance","US Army Medical Research Institute of Infectious Diseases - premier military biodefense laboratory at Fort Detrick with BSL-4 capabilities",85,87,80,66,83,83,78,96,80,84,"BSL-4 maximum containment; Select agent expertise; African Lion biosurveillance deployments; MIP detection technology; 60+ year legacy","Military-restricted; Security clearance required; Not a public platform; Limited data sharing"
115,"JBPDS (Joint Biological Point Detection System)",76,"Military Automated Bio-Agent Detection","JPEO-CBRND automated airborne biological agent detection system deployed on ships and installations for continuous monitoring",74,76,72,62,78,75,68,93,73,80,"Automated continuous monitoring; Shipboard and installation deployment; Four bio-agent classes detected; Enhanced Maritime upgrade 2025; Real-time alerting","False alarm rate concerns; Aging technology; No genomic identification; Detection only not characterization"
116,"DTRA BTRP",80,"Global Cooperative Biological Threat Reduction","Biological Threat Reduction Program - strengthens partner nation biosurveillance and biosecurity across 30+ countries to prevent BW proliferation",82,78,74,70,85,80,78,90,80,76,"30+ partner nations; Lab infrastructure upgrades; Biosurveillance capacity building; BW proliferation prevention; $300M+ annual budget","Capacity building not platform; Government-to-government; Politically sensitive; Variable partner commitment"
117,"NBIC (National Biosurveillance Integration Center)",78,"DHS Integrated Biosurveillance","DHS center integrating human, animal, plant, and environmental biosurveillance data through Biofeeds system for national biodefense",83,77,74,65,80,76,70,90,78,77,"Multi-domain integration (One Health); Biofeeds data tool; DHS operational center; National-level threat picture; Interagency coordination","GAO-identified challenges; Integration gaps; Limited transparency; Bureaucratic overhead"
118,"BioWatch",75.5,"National Aerosol Bio-Detection Network","DHS nationwide air-sampling network in 30+ US cities for early detection of aerosolized biological attacks",74,73,70,60,78,74,66,90,72,76,"30+ US cities coverage; Continuous air sampling; Post-9/11 national program; EPA/CDC collaboration; Early warning mission","High false-positive rate; Aging Gen-2 technology; $80M+ annual cost; Criticized in GAO reports; Detection lag"
119,"NBACC",80.5,"National Biodefense Analysis & Bioforensics","DHS National Biodefense Analysis and Countermeasures Center - BSL-3/4 facility for bio-threat characterization and bioforensic analysis",80,83,76,62,79,79,72,96,77,78,"BSL-4 bioforensics capability; Threat characterization; Attribution analysis; National biodefense mandate; Battelle-operated","DHS-restricted access; Not a surveillance platform; Analysis center not real-time; High security barrier"
120,"IARPA B24IC",77.5,"Intelligence Community Bio-Intelligence","IARPA Biointelligence & Biosecurity Innovation Center - developing methods to detect, collect, analyze & prevent biological threats including AI-bio risks",78,80,72,58,77,74,63,95,73,76,"IC bio-intelligence mission; AI-bio dual-use threat analysis; Novel detection methods; DNI/IARPA funded; BENGAL program for AI bio-risk","Classified program; No public platform; Intelligence community only; Very limited transparency"
121,"Project BioShield / BARDA",81.5,"National Medical Countermeasure Procurement","HHS/ASPR program providing $5.6B+ in funding to incentivize private-sector MCM development against CBRN threats",79,78,76,74,84,82,76,90,80,74,"$5.6B+ authorized funding; Private sector MCM incentives; CBRN threat coverage; 20+ year program history; National strategic reserve pipeline","Procurement not surveillance; Slow development cycles; Political funding variability; Not a technology platform"
122,"GHS Index",83,"Global Health Security Assessment","NTI & Johns Hopkins benchmarking of 195 countries on health security and biodefense preparedness across 6 categories",85,82,84,88,85,86,80,82,80,72,"195-country coverage; NTI + JHU collaboration; Transparent methodology; Policy impact; Publicly accessible data","Assessment not surveillance; Biennial updates only; Self-reported data concerns; Countries average 38.9/100"
123,"SecureBio / NAO",80,"Metagenomic Biosecurity & AI-Bio Risk","SecureBio nonprofit developing pathogen-agnostic metagenomic early warning and LLM-based AI-bio risk assessment tools",80,83,76,72,79,78,74,85,77,80,"Pathogen-agnostic metagenomics; LLM AI-bio risk assessment; Open research approach; Gates Foundation potential; Novel detection methodology","Early stage nonprofit; Limited deployment; Small team; Unproven at scale"
124,"BioFire Defense (FilmArray)",82,"Rapid Multiplex Biothreat Diagnostics","bioMérieux defense division providing FDA-cleared rapid multiplex PCR panels for field-forward biothreat agent identification",80,83,78,76,82,82,78,90,79,86,"FDA-cleared diagnostics; <1 hour results; 22 biothreat targets; USAMRIID-validated; Field-deployable BioThreat panel","Commercial product cost; Known target panel only; Not genomic sequencing; Consumables dependency"
125,"Battelle REBS+",77,"Next-Gen Airborne Bio-Identification","Battelle Resource Effective Bio-identification System Plus - next-generation airborne biological agent identification under $93M DTRA contract (2026)",76,78,72,64,78,75,68,90,74,80,"$93M DTRA contract 2026; Automated bio-identification; Airborne threat detection; Force protection mission; Next-gen technology","Defense-restricted; In development; Limited fielding; Single-vendor dependency"
126,"Teledyne FLIR IBAC 2",76.5,"Aerosol Biological Agent Collection & Detection","Teledyne FLIR Instantaneous Bioaerosol Analysis and Collection system detecting all four classes of biological threats (spore, viral, cellular, toxin)",74,76,72,65,77,76,70,88,74,80,"4-class bio-agent detection; Worldwide military deployment; $168M NBCRV IDIQ contract; Continuous monitoring; Trigger-to-identify system","Detection not identification; High false alarm rate; Aging technology; No genomic capability"
127,"Smiths Detection BioFlash",77.5,"Rapid Biological Agent Identification","Smiths Detection BioFlash Biological Identifier - rapid, sensitive identification of biothreat agents and common diseases using CANARY technology",76,78,74,68,77,77,72,88,75,80,"CANARY biosensor technology; Rapid identification (<5min); Disease + biothreat coverage; Military & civilian use; Established defense contractor","Proprietary technology; Limited agent panel; High unit cost; Maintenance requirements"
128,"Bertin Environics ENVI Assay",74.5,"Field BWA Immunoassay Detection","Finnish military-grade lab-in-a-box biodefense immunochromatographic test system for 7 biological warfare agents including anthrax, ricin, botulinum",72,74,70,72,74,75,70,85,72,76,"Lab-in-a-box portability; 7 BWA agents covered; NATO-adopted; No power/equipment needed; Gold-standard immunoassay","Limited agent panel; No digital integration; Disposable consumables; No genomic capability"
129,"Rheinmetall NBC Field Lab",76,"Mobile CBRN Reconnaissance & Analysis","Rheinmetall mobile NBC field laboratories for military biological agent analysis and CBRN reconnaissance deployed by Bundeswehr and NATO allies",76,77,74,64,76,76,72,88,75,76,"Containerized mobile lab; Bundeswehr primary supplier; NATO interoperable; Full CBRN spectrum; Vehicle-mounted systems","Expensive military hardware; Limited bio-specific capability; European defense market; Heavy logistics footprint"
130,"Bruker CBRNE Detection",77,"Multi-Spectrum CBRNE Detection Systems","Bruker comprehensive CBRNE detection portfolio covering chemical, biological, radiation, nuclear and explosives threats for military and civil defense",76,78,75,70,78,78,74,87,76,78,"Full CBRNE spectrum coverage; Mass spectrometry expertise; Global military clients; Civil + military dual-use; German engineering quality","Broad focus not bio-specific; High cost systems; Complex operation; Requires specialist training"
131,"DORA (Disease Outbreak Risk Assessment)",78,"AI Outbreak Risk Prediction (Defense)","Gryphon Scientific/DTRA (now Deloitte) Disease Outbreak Risk Assessment tool for AI-driven country-to-country disease spread prediction and GOF risk analysis",79,82,76,64,78,76,68,90,75,76,"DTRA-developed risk modeling; Country-to-country spread prediction; Gain-of-function risk analysis; Deloitte acquisition expanded reach; AI-driven assessments","Acquired/restructured 2024; Defense-sector focused; Limited public access; Proprietary methodology"
132,"EpiHiper",81,"High-Performance Pandemic Simulation","UVA Biocomplexity Institute / DTRA-funded agent-based pandemic simulation engine for large-scale what-if epidemic scenario modeling",80,85,79,72,84,80,76,82,78,78,"Agent-based modeling at scale; DTRA-funded development; Open-source engine; COVID-19 hotspot prediction; Synthetic population modeling","Simulation not surveillance; Requires HPC resources; Steep technical barrier; Academic-focused"
133,"UK Dstl (Porton Down)",82.5,"UK Military Biodefense Research","UK Defence Science and Technology Laboratory at Porton Down - premier UK biodefense research facility providing CBW defense capabilities to British military",82,84,78,64,82,80,74,94,80,80,"100+ year Porton Down legacy; BSL-4 capability; Novichok identification expertise; DASA innovation programs; £1B+ annual revenue","UK MoD restricted; Whistleblower safety concerns 2026; Not a public platform; Heavy classification"
134,"DGA Maîtrise NRBC",77,"French Military CBRN Defense","French Direction Générale de l'Armement NRBC division providing biological threat detection and CBRN defense capabilities to French armed forces",76,78,74,60,77,74,68,90,76,76,"French military CBRN leader; OPCW-designated laboratory; BWC compliance analysis; NATO interoperable; 2nd Dragoon Regiment equipped","French MoD restricted; Limited public info; Language barrier; National focus"
135,"Bundeswehr CBRN Defence",78,"German Military CBRN Defense","German Bundeswehr CBRN defence capabilities including Institute of Pharmacology and CBRN reconnaissance for biological threat detection",77,79,75,62,78,77,72,90,78,77,"Bundeswehr Institute expertise; Rheinmetall NBC labs deployed; JCBRN COE contributor; NATO CBRN battalion ready; Strong R&D pipeline","German MoD restricted; Limited public platform; Hardware-focused; Procurement delays"
136,"NATO JCBRN Defence COE",79.5,"NATO CBRN Knowledge & Capability Hub","Joint CBRN Defence Centre of Excellence in Brno, Czech Republic - NATO accredited hub for CBRN defence doctrine, training, and capability development",79,80,76,70,80,80,78,90,82,74,"NATO accredited center; Multi-nation contribution; STEADFAST DUEL support; Doctrine development; Annual conference (Brno 2025)","Doctrine not platform; NATO-member access; No operational surveillance; Knowledge center focus"
137,"EU HERA",81,"EU Health Emergency Preparedness Authority","European Commission Health Emergency Preparedness and Response Authority - EU crisis response for cross-border biological threats and MCM procurement",82,79,77,76,83,80,76,88,82,78,"27-member state coverage; €158M health grants 2025; CBRN MCM procurement authority; EU4Health program integration; Threat assessment pipeline","Bureaucratic EU structure; Not a surveillance platform; MCM focus not detection; Young organization (2021)"
138,"IIBR (Israel Institute for Biological Research)",83,"Israeli National Biodefense Research","Israel's premier classified biological research institute at Ness Ziona - national biodefense against intentional attacks and emerging diseases",82,86,76,55,82,72,65,96,74,82,"Top-tier biodefense research; COVID-19 vaccine development; Chemical/biological countermeasures; Intelligence community integration; Decades of classified expertise","Heavily classified; No public access; Controversial programs; Minimal transparency; Not BWC signatory"
139,"VECTOR (State Research Center of Virology)",76,"Russian National Virology & Biodefense","State Research Center of Virology and Biotechnology VECTOR in Novosibirsk - one of two WHO-authorized smallpox repositories and Russian biodefense backbone",76,80,72,55,78,70,62,85,68,74,"WHO smallpox repository; Sputnik V vaccine development; BSL-4 maximum containment; 70+ year virology legacy; Russian national resource","2019 explosion incident; Transparency concerns; International isolation post-2022; Legacy Biopreparat connections"
140,"Russia 48th CBRN Institute (Sergiev Posad-6)",72,"Russian Military Biological Defense","Russian MoD 48th Central Scientific Research Institute - military biological defense facility with major expansion detected by satellite imagery (2024)",72,76,68,45,76,60,50,80,62,72,"Major facility expansion 2024; Military biodefense backbone; BW defensive research; Historical significance","Near-zero transparency; Satellite-detected expansion; Former BW program links; International concern; No external verification"
141,"China AMMS (Academy of Military Medical Sciences)",74,"Chinese Military Medical & Biodefense Research","PLA Academy of Military Medical Sciences - China's premier military biodefense institution under Central Military Commission with dual-use capabilities",76,78,72,48,78,64,55,82,65,74,"PLA primary biodefense institution; Rapid vaccine development (AD5-nCoV); Dual-use bio/chem defense; Military-Civil Fusion strategy; Large research output","No international transparency; MCF dual-use concerns; US sanctions risk; State Dept flagged; No independent verification"
142,"China CISDCP",77,"Chinese National Disease Surveillance Network","China Integrated Surveillance of Disease Control and Prevention - nationwide near-real-time infectious disease reporting system covering 1.4B population",80,78,76,58,85,72,65,80,70,82,"1.4B population coverage; Near real-time reporting; Hospital direct reporting; Bioterrorism detection capability; One Health integration evolving","Political interference in data; COVID-19 transparency failures; No international data sharing; State-controlled platform"
143,"Korea-US Joint Biosurveillance Portal",78.5,"Allied Joint Biosurveillance System","ROK-US syndromic surveillance system for joint biosurveillance on Korean peninsula including Able Response exercises and KDCA integration",79,78,76,65,79,77,74,88,80,80,"US-ROK bilateral system; Syndromic surveillance design; Safe Korea exercises; Bioterrorism focus; KDCA integration","Bilateral access only; Korean peninsula focus; Exercise-driven development; Limited public documentation"
144,"Japan NIID / JSDF CBRN",78,"Japanese National & Military Biodefense","Japan National Institute of Infectious Diseases and JSDF CBRN capabilities including US-Japan biosurveillance innovation challenge",79,79,77,68,79,78,74,86,77,78,"Advanced BSL-4 lab; US-Japan innovation challenge; JSDF CBRN training with US; High-quality research output; Aum Shinrikyo response legacy","Domestic focus primarily; Language barrier; Conservative innovation; Limited military bio-integration"
145,"Australia DSTG CBRN",79,"Australian Military CBRN Defense Research","Defence Science and Technology Group CBRN research program - Australia's military CBRN defense research including biological detection and decontamination",78,80,76,66,79,78,74,90,78,77,"STAR Shots CBRN program; Five Eyes intelligence sharing; AUKUS bio-defense potential; CBRN Advisory Group; Strong academic partnerships","Small scale relative to US; Limited bio-specific focus; Geographic isolation; Funding constraints"
146,"DRDC Suffield (Canada)",79.5,"Canadian Military CBRN Defense Research","Defence Research and Development Canada Suffield Research Centre - Canadian biological threat defense including live-agent training and NATO ally support",78,80,76,65,78,78,76,90,80,77,"Live-agent CBRN training; NATO ally training host; 13 NATO allies trained annually; New BSL facility planned 2025; BioThreat Defence Section","Aging 1950s infrastructure; New lab in design phase; Canadian MoD restricted; Small research community"
147,"India DRDO Biodefense (DFRL/CFEES)",75,"Indian Military Biodefense Research","DRDO Defence Food Research Laboratory and Centre for Fire, Explosive & Environment Safety providing biological agent detection and BSL-4 capabilities",74,76,72,60,77,72,66,84,72,74,"New BSL-4 lab inaugurated 2024; 52 DRDO laboratory network; Growing capability; MAAREECH detection system; Indigenous development focus","Developing capability; Limited bio-specific platforms; Bureaucratic procurement; No public access"
148,"Africa CDC AGARI",79,"Pan-African Pathogen Genomic Surveillance","Africa Genome Archiving for Response and Insight - continent-wide pathogen genomic data sharing platform launched Nov 2025 with biosecurity integration",80,78,77,74,80,77,76,80,79,78,"55 AU member states; $100M+ investment; Launched November 2025; Biosecurity 5-year plan; Pathogen genomics focus","Very new platform; Infrastructure challenges; Variable capacity across nations; Data sharing barriers"
149,"JEE (WHO Joint External Evaluation)",78,"IHR Compliance & Biosecurity Assessment","WHO standardized Joint External Evaluation tool measuring 19 technical areas of IHR compliance including biosafety, biosecurity, and surveillance for 110+ countries",80,77,75,78,82,82,80,82,78,68,"110+ country evaluations; IHR compliance standard; 19 technical areas; Voluntary transparency; GHSA framework","Assessment not surveillance; Voluntary participation; Self-reporting bias; Infrequent updates"
150,"Federal Select Agent Program",74,"US Bioterrorism Agent Regulatory Database","CDC/APHIS regulatory program overseeing possession, use and transfer of 67 select biological agents and toxins with security risk potential",74,72,70,70,76,78,72,92,72,70,"67 select agents regulated; CDC/APHIS dual oversight; Biosafety/biosecurity standard; Criminal penalties enforcement; Public agent list","Regulatory not surveillance; US domestic only; Administrative burden; No threat detection capability"
151,"JPEO-CBRND Capabilities",82,"US DoD CBRN Defense Acquisition Executive","Joint Program Executive Office for CBRN Defense - manages $1.6B+ Chemical and Biological Defense Program delivering CBRN defense capabilities to all US services",82,82,78,66,85,82,76,94,82,80,"$1.6B+ CBDP budget; All-service CBRN capability; FY25 Capabilities Catalog; Detection to decon coverage; 2023 Biodefense Posture Review","Acquisition not operations; Bureaucratic procurement; Multi-year development cycles; Not a single platform"
152,"USAID PREDICT",80,"Global Zoonotic Virus Discovery","USAID-funded program that discovered 1,200+ novel viruses across 35 countries by sampling 160,000+ animals - foundational to pandemic preparedness",82,81,78,76,82,80,78,80,80,74,"1,200+ novel viruses found; 35 country deployments; 160,000+ animals sampled; One Health surveillance pioneer; $200M+ invested over 10 years","Defunded under Trump 2019; Not currently operational; Discovery not response; Partner capacity variable"
153,"North Korea Bio Program (Assessed)",55,"Assessed State Biological Weapons Capability","Assessed DPRK biological weapons program - estimated 13 pathogen agents including anthrax, smallpox, plague; no verified surveillance platform",50,55,45,30,60,40,35,75,40,55,"Assessed 13 BW agents; Dual-use pharmaceutical infrastructure; State-level investment","No verified platform; Zero transparency; International isolation; Assessed capability only; BWC non-compliance suspected"
154,"BEACON (BU/HealthMap)",83.5,"Open-Source AI Epidemic Surveillance","Biothreats Emergence Analysis and Communications Network - open-source AI+human expert global disease surveillance platform launched April 2025 by Boston University CEID",85,84,82,84,82,80,80,82,82,85,"Open-source & open-access; PandemIQ LLM-powered; 17 language NLP scanning; $6M NSF/Gates funded; HealthMap co-directed; Near real-time outbreak detection; Human expert verification network","Launched Apr 2025 (new); Scaling challenges; Funding sustainability; Event-based not genomic"
155,"GPAP (Global Pathogen Analysis Platform)",82.5,"Global Genomic Pathogen Analysis","DTU/Novo Nordisk Foundation funded Global Pathogen Analysis Platform providing free AI-based genomic analytical toolkit for scientists and public health authorities worldwide",84,85,80,82,83,80,78,82,83,80,"DKK 200M (~$28M) Novo Nordisk funding; Free global access; AI-based analytical toolkit; DTU + SSI Denmark collaboration; Build started Jan 2026; WEF highlighted","Under construction (2026 launch); Unproven at scale; Nordic-centric leadership; Limited track record"
156,"PPX (CEPI Pandemic Preparedness Engine)",79,"AI-Powered Pandemic Preparedness R&D","CEPI-led Pandemic Preparedness Exchange - world's first global AI-factory platform for rapid infectious disease risk identification supporting G7 100 Days Mission",80,82,76,72,80,78,76,82,78,78,"G7-endorsed 100 Days Mission; CEPI-led global initiative; AI-factory architecture; Vaccine R&D acceleration; Announced Davos Jan 2026","Pre-operational stage; Vaccine-centric not surveillance; Multilateral complexity; Funding dependent"
157,"Santé",72,"AI Epidemic Intelligence as a Service","Columbia University health tech startup delivering epidemic intelligence using ML, AI, and geospatial analytics for early detection and prediction",74,76,73,70,72,68,65,72,71,74,"ML/AI-powered detection; Geospatial analytics; Columbia University origin; Epidemic Intelligence as a Service","Very early-stage startup; Limited deployment; Small team; No proven track record; Pre-revenue"
158,"Pandemic PACT Tracker",78.5,"Global Pandemic Research Funding Intelligence","WHO/Wellcome Trust Pandemic Preparedness Analytical Capacity and Funding Tracker - monitors 20,000+ research grants and global pandemic preparedness investments",82,78,80,82,79,80,76,78,78,74,"20,362+ grants tracked; WHO Hub collaboration; Wellcome Trust funded; Public access dashboard; 23 priority area coverage; Living mapping review","Funding tracker not surveillance; Research grants focus only; No pathogen detection; Dependent on funder reporting"
159,"DARPA PANACEA",78,"Multi-Target Military Therapeutics Platform","DARPA program developing integrated platform for rapid prediction, synthesis and testing of novel multi-target therapeutics for warfighter physiological needs",77,80,74,62,78,76,66,92,74,76,"Multi-target drug discovery; AI-guided pharmacology; Warfighter optimization focus; Novel therapeutic modalities; Active through 2026","Therapeutics not surveillance; Research program only; Military-restricted; Not operational platform"
160,"DARPA SIGMA+",80.5,"Urban CBRN Threat Detection Network","DARPA SIGMA+ expanding advanced sensor networks for real-time detection of chemical, biological, radiological and nuclear threats in urban environments",80,82,78,64,82,78,70,92,78,84,"City-scale sensor network; ChemSIGMA bio extension; NY/NJ Port Authority deployed; Real-time CBRN mapping; Multi-modal threat fusion","Primarily rad/nuc focus; Bio detection still maturing; Government-restricted; Sensor logistics complex"
161,"JUPITR",74,"US Forces Korea Biosurveillance","Joint US Forces Korea Portal and Integrated Threat Recognition - portable biological detection and biosurveillance network at Korean military installations",74,74,72,58,75,72,65,88,72,76,"Korea peninsula focused; Battelle aerosol technology; Dugway Proving Ground tested; US-ROK force protection; SRC Inc. contractor","Korea-specific deployment; Aging system (2013-era); Limited bio-identification; Installation-bound"
162,"EMBD (Enhanced Maritime Biological Detection)",78,"Navy Shipboard Bio-Agent Detection","JPEO-CBRND Enhanced Maritime Biological Detection system - upgrade to JBPDS providing automated airborne bio-agent detection and identification for US Navy ships",76,79,74,60,78,76,70,92,75,82,"Near real-time bio detection at sea; JBPDS upgrade (faster, better); Chemring TACBIO integration; Fleet-wide deployment planned; Automated collect-detect-identify","Navy-only platform; Shipboard constraints; Limited agent panel; Expensive per-unit cost"
163,"AVCAD (Aerosol Vapor Chemical Agent Detector)",76,"Next-Gen Portable CBRN Detection","JPEO-CBRND next-generation man-portable chemical/aerosol agent detector by Smiths Detection for joint force CBRN defense with biological detection extension",74,76,72,64,77,76,70,90,74,78,"Next-gen chemical detection; Man-portable system; Wireless remote alarm; Low-level vapor detection; Smiths Detection developed","Chemical-primary focus; Bio detection limited; In development; High per-unit cost"
164,"Chemring TACBIO / JBTDS",78.5,"Advanced Biological Point Detection","Chemring Sensors tactical biological detector and Joint Biological Tactical Detection System for advanced point bio-agent detection with reduced false alarms",76,79,74,66,78,77,72,88,76,82,"TACBIO 2 patent agreement with DEVCOM CBC; Lowest false alarm rate in class; JBTDS trigger-based detection; EMBD integration partner; Multi-nation deployments","Defense-only market; Hardware-dependent; Limited bio-identification; Consumables logistics"
165,"EpiNow2",77,"Real-Time Epidemic Forecasting R Package","Open-source R package for estimating time-varying reproduction number, growth rate and doubling time of infectious disease outbreaks in real-time",76,82,76,78,75,80,78,72,76,80,"Open-source R package; Rt estimation gold standard; CRAN published; Active development (v1.8+); BU Disease RT integration; Academic citation standard","R-only (technical barrier); Requires clean data inputs; Not a platform per se; No built-in visualization dashboard"
166,"Google Earth Engine / Health Map AI",79.5,"Geospatial AI for Disease Ecology","Google Earth Engine combined with AI models for environmental and epidemiological surveillance - used by WHO/FAO for vector-borne disease risk mapping and climate-health forecasting",84,82,85,76,84,80,78,76,78,76,"Planetary-scale geospatial analysis; WHO/FAO partnership; Climate-disease correlation; Free for research use; Satellite + ground truth fusion; Vector-borne disease habitat modeling","Not disease-specific platform; Requires GIS expertise; Google cloud dependency; Limited pathogen detection; Environmental focus not clinical"
167,"KIDA Biosecurity Analysis (Korea)",74.5,"Korean Defense Biodefense Analysis","Korea Institute for Defense Analyses biosecurity and CBRN threat assessment division providing policy analysis and defense capability evaluation for ROK military biodefense",75,76,72,62,75,74,68,86,72,72,"ROK defense think tank; CBRN policy analysis; US-ROK alliance integration; Korean peninsula threat assessment; Government advisory role","Policy analysis not platform; Korean-language primarily; Limited public access; Assessment not surveillance; Small biodefense division"
168,"EIOS 2.0 (WHO Enhanced)",72,"Next-Gen Epidemic Intelligence from Open Sources","WHO upgraded Epidemic Intelligence from Open Sources platform with enhanced AI/ML capabilities for automated event detection across news, social media and official reports in 60+ languages",75,74,72,72,74,72,70,74,72,74,"60+ language NLP monitoring; WHO-led global platform; AI-enhanced event detection; Official + social media fusion; Multi-hazard coverage","Restricted WHO/member state access; Event-based not genomic; Signal noise challenges; Upgrade still rolling out; Limited public interface"
